name,easting,northing,longitude,latitude,elevation,X,Y,Z
HH303,541011.1,6601302.55,21.42834180034474,-30.720429189803458,1050.39,5109381.326895206,2005260.7700592682,-3239823.1986768986
HH285,540945.4,6601289.9,21.42765611441704,-30.720545597669297,1050.45,5109399.234348684,2005197.2334387202,-3239834.325646557
HH156,540850.5,6601201.4,21.426668466597814,-30.72134742675572,1051.28,5109392.182032145,2005092.827116983,-3239911.1818635343
HH161,540923.5,6601201.4,21.4274309069104,-30.72134491856926,1051.24,5109365.599870251,2005160.8574429636,-3239910.922343825
HH176,540843.2,6601214.04,21.42659172041306,-30.721233622017778,1051.09,5109400.716782815,2005088.27854393,-3239900.236706082
HH310,540930.8,6601315.19,21.42750262081927,-30.72031789906031,1050.25,5109416.452526935,2005188.1946003584,-3239812.51860552
HH178,540872.4,6601214.04,21.42689669619443,-30.721232619464157,1051.12,5109390.120836163,2005115.5051624957,-3239900.156466472
HH241,540981.9,6601251.97,21.428038843296918,-30.72088659739518,1050.83,5109368.163093366,2005224.4261724737,-3239867.024729958
HH183,540945.4,6601214.04,21.427659135580903,-30.721230109945683,1051.14,5109363.586489058,2005183.5542496776,-3239899.9274712754
HH283,540916.2,6601289.9,21.427351140828254,-30.720546601986847,1050.45,5109409.854569429,2005170.0163516656,-3239834.421380816
HH255,540945.4,6601264.61,21.427657121592922,-30.720773798514035,1050.67,5109387.342217434,2005192.669989235,-3239856.1907299133
HH272,540967.3,6601277.26,21.42788534825517,-30.72065889926417,1050.58,5109385.341448594,2005215.3717026457,-3239845.192265138
HH224,540989.2,6601239.33,21.42811559089065,-30.721000401270288,1050.94,5109359.564257394,2005228.949596972,-3239877.92897355
HH282,540901.6,6601289.9,21.427198654028114,-30.720547103876946,1050.44,5109415.1566372905,2005156.4046515608,-3239834.4641138227
HH200,540908.9,6601226.68,21.42727741294659,-30.72111730996251,1051.01,5109382.789515075,2005151.8074437461,-3239889.108728367
HH311,540945.4,6601315.19,21.427655107252658,-30.720317396816522,1050.26,5109411.150405719,2005201.8062786453,-3239812.4758386537
HH281,540887.0,6601289.9,21.42704616722415,-30.72054760558796,1050.44,5109420.466680986,2005142.7960813122,-3239834.5119382706
HH242,540996.5,6601251.97,21.428191330614556,-30.72088609451318,1050.84,5109362.860878701,2005238.0378147836,-3239866.9819026142
HH179,540887.0,6601214.04,21.427049184079376,-30.721232117918692,1051.11,5109384.802816644,2005129.1106046068,-3239900.103549519
HH215,540857.8,6601239.33,21.42674320326142,-30.72100491997476,1050.88,5109407.3071162095,2005106.4538037363,-3239878.3290551966
HH305,541040.3,6601302.55,21.428646773524456,-30.720428183162092,1050.43,5109370.738337465,2005287.9995698833,-3239823.1231549904
HH289,541003.8,6601289.9,21.428266061548637,-30.720543586884983,1050.51,5109378.041601889,2005251.6863285492,-3239834.164624235
HH276,541025.7,6601277.26,21.428495296081664,-30.72065688739613,1050.63,5109364.14053916,2005269.8213889943,-3239845.026031305
HH225,541003.8,6601239.33,21.42826807838585,-30.72099989829648,1050.95,5109354.26202938,2005242.5612342095,-3239877.8861375283
HH180,540901.6,6601214.04,21.427201671960503,-30.721231616194103,1051.12,5109379.500775381,2005142.722317,-3239900.060832722
HH199,540894.3,6601226.68,21.427124925246865,-30.721117811774377,1050.99,5109388.083567198,2005138.1925964532,-3239889.146344958
HH217,540887.0,6601239.33,21.42704817831693,-30.72100391707197,1050.87,5109396.679106326,2005133.6678379762,-3239878.228347656
HH291,541033.0,6601289.9,21.428571035091423,-30.72054258041818,1050.53,5109367.437065903,2005278.9095689368,-3239834.0789021216
HH186,540989.2,6601214.04,21.428116599166824,-30.721228602085286,1051.17,5109347.67996503,2005224.3892269742,-3239899.799064784
HH275,541011.1,6601277.26,21.428342809130793,-30.7206573906318,1050.62,5109369.442807161,2005256.2097685465,-3239845.068892505
HH205,540981.9,6601226.68,21.42803985138779,-30.721114798216494,1051.06,5109356.278841862,2005219.8658178786,-3239888.8948463174
HH238,540938.1,6601251.97,21.427581381320998,-30.720888104966512,1050.79,5109384.061574791,2005183.5880410385,-3239867.14800098
HH185,540974.6,6601214.04,21.427964111308686,-30.721229104884525,1051.16,5109352.982166391,2005210.7775785304,-3239899.8418840203
HH184,540960.0,6601214.04,21.42781162344671,-30.72122960750466,1051.16,5109358.292343485,2005197.169060027,-3239899.8897947995
HH284,540930.8,6601289.9,21.427503627624564,-30.720546099917634,1050.45,5109404.544472389,2005183.624900541,-3239834.373522223
HH218,540901.6,6601239.33,21.42720066583895,-30.721003415351905,1050.86,5109391.361060159,2005147.273268761,-3239878.1754139843
HH235,540894.3,6601251.97,21.427123919310606,-30.72088961092588,1050.77,5109399.975820979,2005142.7560948615,-3239867.2813354693
HH181,540916.2,6601214.04,21.427354159837797,-30.7212311142904,1051.14,5109374.2067098785,2005156.33715927,-3239900.023207466
HH296,540908.9,6601302.55,21.427274394094955,-30.720432707406435,1050.35,5109418.466031378,2005165.4978432914,-3239823.5135507216
HH269,540923.5,6601277.26,21.427427887345047,-30.720660406284583,1050.54,5109401.239849822,2005174.5335409788,-3239845.3154841103
HH253,540916.2,6601264.61,21.42735214728594,-30.72077480284063,1050.65,5109397.946433224,2005165.4466200124,-3239856.276247723
HH318,541047.6,6601315.19,21.42872251217903,-30.720313876095098,1050.4,5109374.090827172,2005297.1097135858,-3239812.211751887
HH257,540974.6,6601264.61,21.427962095884578,-30.720772793471,1050.7,5109376.745897358,2005219.89645647,-3239856.1102523557
HH299,540952.7,6601302.55,21.427731853939285,-30.720431200936922,1050.36,5109402.543702732,2005206.3266137415,-3239823.3750583106
HH27,540945.4,6601096.03,21.427663835595972,-30.722294956805676,1052.44,5109308.311535938,2005162.3451177655,-3240002.0944388346
HH142,540938.1,6601184.54,21.427584066317852,-30.721496550274733,1051.4,5109352.372160634,2005171.427806277,-3239925.4578984505
HH40,540938.1,6601108.67,21.427587087484962,-30.72218115269078,1052.24,5109316.838542522,2005157.7935003664,-3239991.144332359
HH9,541033.0,6601070.74,21.42857978220645,-30.72252014010159,1052.52,5109264.445441903,2005239.3884945924,-3240023.5999874533
HH123,540945.4,6601171.89,21.42766081427122,-30.72161044464213,1051.56,5109343.808495708,2005175.9650759078,-3239936.3962456523
HH25,540916.2,6601096.03,21.427358856501403,-30.722295961192682,1052.35,5109318.85973605,2005135.0997566958,-3240002.144199061
HH122,540930.8,6601171.89,21.427508325803068,-30.7216109469116,1051.54,5109349.102614694,2005162.3502539613,-3239936.4339054786
HH39,540923.5,6601108.67,21.42743459811717,-30.72218165488201,1052.22,5109322.13264838,2005144.1786715079,-3239991.181984282
HH59,541003.8,6601121.32,21.428272785050133,-30.722064745109414,1052.04,5109298.819408044,2005221.2863078506,-3239979.9460482923
